,AFFGEOID,Zugeschnitten_area_full,Zugeschnitten_area_clipped,Anzahl_centers_in_counties
2255,0500000US19059,,,0
2256,0500000US19183,1480910467.342,1.480.910.467,0
2257,0500000US20075,,,0
2258,0500000US20145,,,0
2259,0500000US53001,4994620451.683,,0
2260,0500000US53063,4606091011.052,,3
2261,0500000US55003,,,0
2262,0500000US13193,1057678186.6819999,1.057.678.187,0
2263,0500000US13223,818250786.0689999,818.250.786,0
2264,0500000US48087,,,0
2265,0500000US48095,2588662739.236,,0
2266,0500000US48111,,,0
2267,0500000US48115,2349864114.2920003,736.555.928,0
2268,0500000US48123,2374537432.244,,0
2269,0500000US48125,2357729928.6070004,120.801.454,0
2270,0500000US48195,,,0
2271,0500000US42015,3011693759.589,1.611.070.183,0
2272,0500000US46029,1857386338.885,724.875.341,0
2273,0500000US48021,2335099548.615,,0
2274,0500000US48193,2179218128.176,1.351.823.828,0
2275,0500000US54055,1093510060.577,337.632,0
2276,0500000US54061,950471245.0710001,950.471.245,0
2277,0500000US13253,668665608.487,668.665.608,0
2278,0500000US13277,700545562.992,700.545.563,0
2279,0500000US45089,2439500388.835,1.748.730.763,0
2280,0500000US46003,,,0
2281,0500000US46007,,,0
2282,0500000US48181,2548797150.856,,0
2283,0500000US48197,,,0
2284,0500000US29155,1335529128.554,222.008.442,0
2285,0500000US31097,977928021.496,977.134.740,0
2286,0500000US35041,,,0
2287,0500000US53053,4395021093.125999,,1
2288,0500000US48171,2768043005.735,426.739.106,0
2289,0500000US54089,955668782.1689999,12.401.208,0
2290,0500000US55009,1390088935.4060001,1.390.088.935,2
2291,0500000US46013,,,0
2292,0500000US46017,,,0
2293,0500000US46019,,,0
2294,0500000US48209,1772849835.825,1.772.849.836,1
2295,0500000US48211,,,0
2296,0500000US48233,2328307815.67,702.391.139,0
2297,0500000US48235,2739852896.046,,0
2298,0500000US48243,,,0
2299,0500000US48249,2266752486.596,1.882.935.136,0
2300,0500000US21185,511095112.601,511.095.113,0
2301,0500000US26123,2233516728.942,,0
2302,0500000US26137,,,0
2303,0500000US27047,1872559777.559,1.201.443.755,0
2304,0500000US55013,2279340091.442,446.185.508,0
2305,0500000US55017,2697436790.713,,0
2306,0500000US55019,3156548424.315,,0
2307,0500000US46027,1081686590.379,1.081.686.590,1
2308,0500000US46033,,,0
2309,0500000US46043,,,0
2310,0500000US46047,,,0
2311,0500000US48253,2441112230.642,,0
2312,0500000US48257,2103657887.1079998,2.103.657.887,0
2313,0500000US48267,,,0
2314,0500000US48505,2761280727.778,2.036.505.355,0
2315,0500000US50015,,,0
2316,0500000US55063,1243827417.2680001,1.243.827.417,1
2317,0500000US55031,3474953112.314,,0
2318,0500000US55033,2237641984.939,,0
2319,0500000US46051,1780654486.332,123.259.749,0
2320,0500000US46061,1128363190.1269999,303.890.786,0
2321,0500000US46079,1490507304.438,1.490.507.304,0
2322,0500000US46081,,,0
2323,0500000US48271,3561321042.912,,0
2324,0500000US48281,1860399972.87,1.860.399.973,0
2325,0500000US48291,3067315050.535,,0
2326,0500000US55115,2355342116.32,,0
2327,0500000US48393,,,0
2328,0500000US48415,,,0
2329,0500000US05081,1470356964.6620002,1.470.356.965,0
2330,0500000US08097,,,0
2331,0500000US13127,1213141303.097,244.879.930,0
2332,0500000US55041,2709449411.2460003,32.176.132,0
2333,0500000US55045,1515841141.76,1.515.841.142,0
2334,0500000US55047,985212014.359,985.212.014,0
2335,0500000US46135,1379822312.835,1.379.822.313,0
2336,0500000US47007,1057974959.626,1.028.596.695,0
2337,0500000US48295,,,0
2338,0500000US48297,2815196973.791,647.852.506,0
2339,0500000US48307,,,0
2340,0500000US28003,1044902687.352,567.309.220,0
2341,0500000US28123,1590053669.385,1.590.053.669,0
2342,0500000US29115,,,0
2343,0500000US31063,2543587814.296,58.254.919,0
2344,0500000US31181,1492703458.889,727.214.021,0
2345,0500000US55061,891165220.6719999,891.165.221,0
2346,0500000US55065,1645669960.3479998,1.645.669.960,0
2347,0500000US55071,1543090285.341,1.543.090.285,0
2348,0500000US47011,862402570.6789999,862.402.571,0
2349,0500000US47023,743774531.536,743.774.532,0
2350,0500000US48325,3480565069.1540003,,0
2351,0500000US48329,,,0
2352,0500000US48335,2387090436.2520003,28.174.866,0
2353,0500000US48353,2379661156.086,2.084.825.681,0
2354,0500000US48357,,,0
2355,0500000US48367,2370140543.0829997,,0
2356,0500000US56043,,,0
2357,0500000US72071,,,0
2358,0500000US12075,3017638811.105,,0
2359,0500000US20071,,,0
2360,0500000US55079,630479813.596,630.479.814,6
2361,0500000US55087,1669861314.967,1.669.861.315,2
2362,0500000US47027,674336086.0040001,76.257.834,0
2363,0500000US47047,1837342006.982,1.837.342.007,0
2364,0500000US47069,1744380476.461,1.744.380.476,0
2365,0500000US48369,2303075249.949,14.149.822,0
2366,0500000US48381,2400796626.05,,0
2367,0500000US48397,387416116.78900003,387.416.117,0
2368,0500000US48417,2384527782.84,,0
2369,0500000US48421,,,0
2370,0500000US48431,2405596124.762,1.669.668.344,0
2371,0500000US48435,3790355666.677,13.264.488,0
2372,0500000US13247,343902721.122,343.902.721,0
2373,0500000US17077,1565513457.495,1.565.513.457,1
2374,0500000US55091,644267277.11,644.267.277,0
2375,0500000US55093,1532744887.5279999,1.532.744.888,0
2376,0500000US55097,2131614503.65,2.131.614.504,1
2377,0500000US47071,1550993890.2470002,1.550.993.890,0
2378,0500000US47075,1389079664.164,1.389.079.664,0
2379,0500000US48445,2319781170.298,,0
2380,0500000US48477,1621050758.859,1.621.050.759,0
2381,0500000US48483,,,0
2382,0500000US48487,2545718075.86,1.628.926.307,0
2383,0500000US37151,2054672206.502,2.054.672.207,0
